"scientific_name","attribute_name","range"
"Malus domestica Pompink","Sun tolerance","Full sun"
"Mandevilla hybrid 1","Edible","No"
"Mandevilla hybrid 1","Habit","Vine"
"Mandevilla hybrid 1","Kind","Plant"
"Mandevilla hybrid 1","Native","Yes"
"Mandevilla hybrid 1","Sun tolerance","Unknown"
"Mandevilla hybrid 2","Edible","No"
"Mandevilla hybrid 2","Habit","Vine"
"Mandevilla hybrid 2","Kind","Plant"
"Mandevilla hybrid 2","Native","Yes"
"Mandevilla hybrid 2","Sun tolerance","Unknown"
"Mandevilla laxa","Edible","No"
"Mandevilla laxa","Habit","Vine"
"Mandevilla laxa","Kind","Plant"
"Mandevilla laxa","Native","No"
"Mandevilla laxa","Sun tolerance","Unknown"
"Mentha spicata","Edible","Leaf"
"Mentha spicata","Habit","Shrub"
"Mentha spicata","Kind","Herb"
"Mentha spicata","Native","No"
"Mentha spicata","Sun tolerance","Full sun, Part shade"
"Monstera deliciosa","Edible","No"
"Monstera deliciosa","Habit","Unknown"
"Monstera deliciosa","Kind","Plant"
"Monstera deliciosa","Native","No"
"Monstera deliciosa","Sun tolerance","Unknown"
"Nandina domestica","Edible","No"
"Nandina domestica","Habit","Unknown"
"Nandina domestica","Kind","Plant"
"Nandina domestica","Native","No"
"Nandina domestica","Sun tolerance","Unknown"
"Narcissus papyraceus","Edible","No"
"Narcissus papyraceus","Habit","Unknown"
"Narcissus papyraceus","Kind","Plant"
"Narcissus papyraceus","Native","No"
"Narcissus papyraceus","Sun tolerance","Unknown"
"Nierembergia","Edible","No"
"Nierembergia","Habit","Unknown"
"Nierembergia","Kind","Plant"
"Nierembergia","Native","No"
"Nierembergia","Sun tolerance","Unknown"
"Ocimum basilicum","Edible","Leaf, Stem"
"Ocimum basilicum","Habit","Shrub"
"Ocimum basilicum","Kind","Herb"
"Ocimum basilicum","Native","No"
"Ocimum basilicum","Sun tolerance","Full sun"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","Edible","Leaf, Stem"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","Habit","Shrub"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","Kind","Plant"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","Native","No"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","Sun tolerance","Full sun"
"Oenothera lindheimeri","Edible","No"
"Oenothera lindheimeri","Habit","Unknown"
"Oenothera lindheimeri","Kind","Plant"
"Oenothera lindheimeri","Native","No"
"Oenothera lindheimeri","Sun tolerance","Unknown"
"Origanum vulgare","Edible","Yes"
"Origanum vulgare","Habit","Shrub"
"Origanum vulgare","Kind","Herb"
"Origanum vulgare","Native","No"
"Origanum vulgare","Sun tolerance","Full sun"
"Osteospermum ecklonis","Edible","No"
"Osteospermum ecklonis","Habit","Shrub"
"Osteospermum ecklonis","Kind","Plant"
"Osteospermum ecklonis","Native","No"
"Osteospermum ecklonis","Sun tolerance","Full sun"
"Ozothamnus","Edible","No"
"Ozothamnus","Habit","Unknown"
"Ozothamnus","Kind","Plant"
"Ozothamnus","Native","Yes"
"Ozothamnus","Sun tolerance","Unknown"
"Pelargonium","Edible","No"
"Pelargonium","Habit","Unknown"
"Pelargonium","Kind","Plant"
"Pelargonium","Native","No"
"Pelargonium","Sun tolerance","Unknown"
"Pennisetum setaceum","Edible","No"
"Pennisetum setaceum","Habit","Unknown"
"Pennisetum setaceum","Kind","Plant"
"Pennisetum setaceum","Native","No"
"Pennisetum setaceum","Sun tolerance","Unknown"
"Penstemon cv","Edible","No"
"Penstemon cv","Habit","Unknown"
"Penstemon cv","Kind","Plant"
"Penstemon cv","Native","No"
"Penstemon cv","Sun tolerance","Unknown"
"Persicaria affinis","Edible","No"
"Persicaria affinis","Habit","Unknown"
"Persicaria affinis","Kind","Herb"
"Persicaria affinis","Native","No"
"Persicaria affinis","Sun tolerance","Unknown"
"Persicaria odarata","Edible","Leaf"
"Persicaria odarata","Habit","Shrub"
"Persicaria odarata","Kind","Plant"
"Persicaria odarata","Native","No"
"Persicaria odarata","Sun tolerance","Part shade"
"Petroselinum crispum","Edible","Leaf, Stem"
"Petroselinum crispum","Habit","Shrub"
"Petroselinum crispum","Kind","Herb"
"Petroselinum crispum","Native","No"
"Petroselinum crispum","Sun tolerance","Full sun"
"Philadelphus mexicanus","Edible","No"
"Philadelphus mexicanus","Habit","Unknown"
"Philadelphus mexicanus","Kind","Plant"
"Philadelphus mexicanus","Native","No"
"Philadelphus mexicanus","Sun tolerance","Unknown"
"Philotheca myoporoides","Edible","No"
"Philotheca myoporoides","Habit","Unknown"
"Philotheca myoporoides","Kind","Tree"
"Philotheca myoporoides","Native","Yes"
"Philotheca myoporoides","Sun tolerance","Unknown"
"Pimelea rosea","Edible","No"
"Pimelea rosea","Habit","Unknown"
"Pimelea rosea","Kind","Plant"
"Pimelea rosea","Native","Yes"
"Pimelea rosea","Sun tolerance","Unknown"
"Plectranthus caninus","Edible","No"
"Plectranthus caninus","Habit","Shrub"
"Plectranthus caninus","Kind","Plant"
"Plectranthus caninus","Native","No"
"Plectranthus caninus","Sun tolerance","Full sun"
"Plectranthus ecklonii 1","Edible","No"
"Plectranthus ecklonii 1","Habit","Shrub"
"Plectranthus ecklonii 1","Kind","Plant"
"Plectranthus ecklonii 1","Native","No"
"Plectranthus ecklonii 1","Sun tolerance","Shade"
"Plectranthus ecklonii 2","Edible","No"
"Plectranthus ecklonii 2","Habit","Shrub"
"Plectranthus ecklonii 2","Kind","Plant"
"Plectranthus ecklonii 2","Native","No"
"Plectranthus ecklonii 2","Sun tolerance","Part shade"
"Plectranthus saccatus","Edible","No"
"Plectranthus saccatus","Habit","Shrub"
"Plectranthus saccatus","Kind","Plant"
"Plectranthus saccatus","Native","No"
"Plectranthus saccatus","Sun tolerance","Part shade, Shade"
"Portulacaria afra","Edible","No"
"Portulacaria afra","Habit","Unknown"
"Portulacaria afra","Kind","Plant"
"Portulacaria afra","Native","No"
"Portulacaria afra","Sun tolerance","Unknown"
"Prostanthera phylicifolia","Edible","No"
"Prostanthera phylicifolia","Habit","Shrub"
"Prostanthera phylicifolia","Kind","Plant"
"Prostanthera phylicifolia","Native","Yes"
"Prostanthera phylicifolia","Sun tolerance","Full sun, Part shade"
"Prunus armeniaca","Edible","Fruit"
"Prunus armeniaca","Habit","Dwarf"
"Prunus armeniaca","Kind","Tree"
"Prunus armeniaca","Native","Yes"
"Prunus armeniaca","Sun tolerance","Full sun"
"Prunus persica 'Nectazee'","Edible","Fruit"
"Prunus persica 'Nectazee'","Habit","Semi-dwarf"
"Prunus persica 'Nectazee'","Kind","Tree"
"Prunus persica 'Nectazee'","Native","No"
"Prunus persica 'Nectazee'","Sun tolerance","Full sun, Part shade"
"Ptilotus exultatus","Edible","No"
"Ptilotus exultatus","Habit","Shrub"
"Ptilotus exultatus","Kind","Plant"
"Ptilotus exultatus","Native","Yes"
"Ptilotus exultatus","Sun tolerance","Full sun, Part shade"
"Pultenaea pedunculata","Edible","No"
"Pultenaea pedunculata","Habit","Unknown"
"Pultenaea pedunculata","Kind","Plant"
"Pultenaea pedunculata","Native","Yes"
"Pultenaea pedunculata","Sun tolerance","Unknown"
"Rosa 1","Edible","No"
"Rosa 1","Habit","Shrub"
"Rosa 1","Kind","Plant"
"Rosa 1","Native","No"
"Rosa 1","Sun tolerance","Full sun"
"Rosa 2","Edible","No"
"Rosa 2","Habit","Shrub"
"Rosa 2","Kind","Plant"
"Rosa 2","Native","No"
"Rosa 2","Sun tolerance","Full sun"
"Rosa 3","Edible","No"
"Rosa 3","Habit","Shrub"
"Rosa 3","Kind","Plant"
"Rosa 3","Native","No"
"Rosa 3","Sun tolerance","Full sun"
"Rosa 4","Edible","No"
"Rosa 4","Habit","Shrub"
"Rosa 4","Kind","Plant"
"Rosa 4","Native","No"
"Rosa 4","Sun tolerance","Full sun"
"Rosmarinus officinalis","Edible","Leaf"
"Rosmarinus officinalis","Habit","Shrub"
"Rosmarinus officinalis","Kind","Plant"
"Rosmarinus officinalis","Native","No"
"Rosmarinus officinalis","Sun tolerance","Full sun"
"Rotheca myricoides","Edible","No"
"Rotheca myricoides","Habit","Unknown"
"Rotheca myricoides","Kind","Tree"
"Rotheca myricoides","Native","No"
"Rotheca myricoides","Sun tolerance","Unknown"
"Salvia apiana","Edible","Leaf"
"Salvia apiana","Habit","Shrub"
"Salvia apiana","Kind","Herb"
"Salvia apiana","Native","No"
"Salvia apiana","Sun tolerance","Full sun"
"Salvia involucrata","Edible","No"
"Salvia involucrata","Habit","Shrub"
"Salvia involucrata","Kind","Plant"
"Salvia involucrata","Native","No"
"Salvia involucrata","Sun tolerance","Full sun"
"Salvia officinalis","Edible","Leaf"
"Salvia officinalis","Habit","Shrub"
"Salvia officinalis","Kind","Plant"
"Salvia officinalis","Native","No"
"Salvia officinalis","Sun tolerance","Full sun"
"Siegfredia darwinioides","Edible","No"
"Siegfredia darwinioides","Habit","Unknown"
"Siegfredia darwinioides","Kind","Plant"
"Siegfredia darwinioides","Native","Yes"
"Siegfredia darwinioides","Sun tolerance","Unknown"
"Spiraea japonica","Edible","No"
"Spiraea japonica","Habit","Unknown"
"Spiraea japonica","Kind","Plant"
"Spiraea japonica","Native","No"
"Spiraea japonica","Sun tolerance","Unknown"
"Streptosolen jamesonii","Edible","No"
"Streptosolen jamesonii","Habit","Unknown"
"Streptosolen jamesonii","Kind","Tree"
"Streptosolen jamesonii","Native","No"
"Streptosolen jamesonii","Sun tolerance","Unknown"
"Strobilanthes anisophyllus","Edible","No"
"Strobilanthes anisophyllus","Habit","Unknown"
"Strobilanthes anisophyllus","Kind","Plant"
"Strobilanthes anisophyllus","Native","No"
"Strobilanthes anisophyllus","Sun tolerance","Unknown"
"Tagetes erecta","Edible","No"
"Tagetes erecta","Habit","Unknown"
"Tagetes erecta","Kind","Plant"
"Tagetes erecta","Native","No"
"Tagetes erecta","Sun tolerance","Unknown"
"Tagetes sp","Edible","No"
"Tagetes sp","Habit","Shrub"
"Tagetes sp","Kind","Plant"
"Tagetes sp","Native","No"
"Tagetes sp","Sun tolerance","Full sun"
"Tamarix aphylla","Edible","No"
"Tamarix aphylla","Habit","Unknown"
"Tamarix aphylla","Kind","Tree"
"Tamarix aphylla","Native","No"
"Tamarix aphylla","Sun tolerance","Unknown"
"Tanacetum ptarmiciflorum","Edible","No"
"Tanacetum ptarmiciflorum","Habit","Shrub"
"Tanacetum ptarmiciflorum","Kind","Plant"
"Tanacetum ptarmiciflorum","Native","No"
"Tanacetum ptarmiciflorum","Sun tolerance","Full sun"
"Tanacetum vulgare","Edible","No"
"Tanacetum vulgare","Habit","Shrub"
"Tanacetum vulgare","Kind","Plant"
"Tanacetum vulgare","Native","No"
"Tanacetum vulgare","Sun tolerance","Full sun"
"Telopea speciosissima x oreades","Edible","No"
"Telopea speciosissima x oreades","Habit","Tree"
"Telopea speciosissima x oreades","Kind","Tree"
"Telopea speciosissima x oreades","Native","Yes"
"Telopea speciosissima x oreades","Sun tolerance","Full sun, Part shade"
"Tetragonia tetragonioides","Edible","Leaf
"Tetragonia tetragonioides","Habit","Prostrate"
"Tetragonia tetragonioides","Kind","Vegetable"
"Tetragonia tetragonioides","Native","No"
"Tetragonia tetragonioides","Sun tolerance","Full sun"
"Thelionema caespitosum","Edible","No"
"Thelionema caespitosum","Habit","Shrub"
"Thelionema caespitosum","Kind","Plant"
"Thelionema caespitosum","Native","No"
"Thelionema caespitosum","Sun tolerance","Unknown"
"Thryptomene saxicola 'F.C. Payne'","Edible","No"
"Thryptomene saxicola 'F.C. Payne'","Habit","Shrub"
"Thryptomene saxicola 'F.C. Payne'","Kind","Plant"
"Thryptomene saxicola 'F.C. Payne'","Native","No"
"Thryptomene saxicola 'F.C. Payne'","Sun tolerance","Full sun"
"Tibouchina urvilleana","Edible","No"
"Tibouchina urvilleana","Habit","Unknown"
"Tibouchina urvilleana","Kind","Tree"
"Tibouchina urvilleana","Native","No"
"Tibouchina urvilleana","Sun tolerance","Unknown"
"Tropaeolum majus","Edible","Flower, Leaf, Stem, Rhizome"
"Tropaeolum majus","Habit","Prostrate"
"Tropaeolum majus","Kind","Plant"
"Tropaeolum majus","Native","No"
"Tropaeolum majus","Sun tolerance","Full sun"
"Valerianella locusta","Edible","Leaf"
"Valerianella locusta","Habit","Shrub"
"Valerianella locusta","Kind","Plant"
"Valerianella locusta","Native","No"
"Valerianella locusta","Sun tolerance","Full sun"
"Vigna unguiculata subsp. sesquipedalis","Edible","Leaf"
"Vigna unguiculata subsp. sesquipedalis","Habit","Shrub"
"Vigna unguiculata subsp. sesquipedalis","Kind","Plant"
"Vigna unguiculata subsp. sesquipedalis","Native","No"
"Vigna unguiculata subsp. sesquipedalis","Sun tolerance","Unknown"
"Viola","Edible","No"
"Viola","Habit","Unknown"
"Viola","Kind","Plant"
"Viola","Native","No"
"Viola","Sun tolerance","Unknown"
"Viola tricolor","Edible","No"
"Viola tricolor","Habit","Unknown"
"Viola tricolor","Kind","Plant"
"Viola tricolor","Native","No"
"Viola tricolor","Sun tolerance","Unknown"
"Viola x wittrockiana","Edible","No"
"Viola x wittrockiana","Habit","Unknown"
"Viola x wittrockiana","Kind","Plant"
"Viola x wittrockiana","Native","No"
"Viola x wittrockiana","Sun tolerance","Unknown"
"Wisteria sinensis 'Alba'","Edible","No"
"Wisteria sinensis 'Alba'","Habit","Vine"
"Wisteria sinensis 'Alba'","Kind","Plant"
"Wisteria sinensis 'Alba'","Native","No"
"Wisteria sinensis 'Alba'","Sun tolerance","Unknown"
"Zantedeschia elliottiana","Edible","No"
"Zantedeschia elliottiana","Habit","Unknown"
"Zantedeschia elliottiana","Kind","Plant"
"Zantedeschia elliottiana","Native","No"
"Zantedeschia elliottiana","Sun tolerance","Unknown"
