"common_name","note"
"Hibiscus 3","Pruning: Prune to shape in early spring and follow up with a complete fertilizer, and abundant summer water. Tip prune occasionally for a bushier plant"
"Himalayan Knotweed","A dense and hardy groundcover with spikes of red and pink flowers throughout Summer"
"Himalayan Knotweed","Foliage gets bronzy coloring in Autumn"
"Himalayan Knotweed","Happy in sun or shade in moist or fairly dry soil"
"Himalayan Knotweed","Spread 20cm x 80cm"
"Himalayan Knotweed","Supplier: Rippon Lea Estate"
"Honeysuckle","Flowering: 2011-12-20, in Spring (Melbourne, Victoria, Australia)"
"Honeysuckle","Pruning: Keep under control"
"Honeysuckle","Feeding: No"
"Honeysuckle","Status: Defunct"
"Hummingbird Plant","Deciduous clumping plant topped with tubular orange flowers from late Spring until Summer"
"Hydrangea","Status: Defunct"
"Hymenosporum","Dwarf version of the 'Native frangipani'"
"Hymenosporum","A shrub with large, glossy leaves and yellow perfumed flowers"
"Hymenosporum","Great feature or pot plant that can be used indoors or outdoors"
"Hymenosporum","Supplier: Burnley Horticultural College"
"Iris 1 - Pale purple","Feeding: No"
"Iris 1 - Pale purple","Flowering: 2012-06-20, at the end of Autumn (Melbourne, Victoria, Australia)"
"Iris 1 - Pale purple","The flowers have a slight but pretty aroma"
"Iris 1 - Pale purple","Pruning: Divide rhizomes in Summer"
"Iris 1 - Pale purple","Also: Cut foliage almost to ground level in Autumn"
"Isopogon latifolius","Water moderately"
"Isopogon latifolius","Frost-hardy"
"Isopogon latifolius","An evergreen small shrub with large green leaves"
"Isopogon latifolius","Produces attractive and unusual large pink terminal cone flowers during late Winter and Spring"
"Isopogon latifolius","Excellent for cut flowers which are long-lasting"
"Isopogon latifolius","Looks good in the garden or as a container pot"
"Isopogon latifolius","Prefers a moist, well-drained soil in a sunny position"
"Isopogon latifolius","Prune after flowering to maintain compact growth"
"Isopogon latifolius","Mulch and water plants well during dry periods"
"Isopogon latifolius","Culivate soil before planting."
"Isopogon latifolius","Dig hole twice the width of the container"
"Isopogon latifolius","Remove plant from container and place into the hole so the soil level is the same as the surrounding ground"
"Isopogon latifolius","Fill hole firmly and in well even if the soil is moist"
"Isopogon latifolius","I am a Fuss Pot!"
"Isopogon latifolius","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Japanese Spiraea","Feeding: No"
"Japanese Spiraea","Status: Defunct"
"Japanese Spiraea","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"Japanese Spiraea","Pruning: Prune after flowering, removing older branches at ground level"
"Kangaroo Paw 1 - Yellow","This is an Australian native"
"Kangaroo Paw 1 - Yellow","Bush Bonanza features large, bright yellow flowers on strong, upright orange/red stems"
"Kangaroo Paw 1 - Yellow","The flower stems produce large numbers of blooms that hold their color over several months"
"Kangaroo Paw 1 - Yellow","Expect peak flowering from Spring to early Summer, with a secondary flush in Autumn"
"Kangaroo Paw 1 - Yellow","It is a perfect plant to grow in a container in a sunny spot"
"Kangaroo Paw 1 - Yellow","Full sun. Heat tolerant. Light frost tolerant. Drought tolerant"
"Kangaroo Paw 1 - Yellow","Remove old flower stems and leaves as close as possible to their base"
"Kangaroo Paw 1 - Yellow","Sprinkle a small handful of slow release fertilizer for native plants around the base of the plant in Autumn and again in Spring"
"Kangaroo Paw 1 - Yellow","Water only when the top of the potting mix has dried out"
"Kangaroo Paw 1 - Yellow","Keep the center of the plant free of weeds, dead leaves and spent flower stems"
"Kangaroo Paw 1 - Yellow","Supplier: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Kangaroo Paw 2 - Red","This is an Australian native"
"Kangaroo Paw 2 - Red","Stunning iridescent crimson flowers stand tall from the slightly arching foliage creating an impressive display"
"Kangaroo Paw 2 - Red","Bush Crystal has all the excellent features Bush Gems are known for plus the amazing glow of crimson flowers"
"Kangaroo Paw 2 - Red","Beautiful on its own or perhaps best enjoyed alongside Bush Diamond and Bush Pearl"
"Kangaroo Paw 2 - Red","Prolific flowering from Spring to Summer"
"Kangaroo Paw 2 - Red","Well drained, sunny location"
"Kangaroo Paw 2 - Red","Remove old flower stems and leaves as close as possible to their base"
"Kangaroo Paw 2 - Red","Sprinkle a small handful of slow release fertilizer for native plants around the base of the plant in Autumn and again in Spring"
"Kangaroo Paw 2 - Red","Water only when the top of the potting mix has dried out"
"Kangaroo Paw 2 - Red","Keep the center of the plant free of weeds, dead leaves and spent flower stems"
"Kangaroo Paw 2 - Red","Supplier: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Land cress","Herb, vegetable"
"Land cress","Land cress is considered a satisfactory substitute for watercress"
"Land cress","It can be used in sandwiches, or salads, or cooked like spinach, or used in soup and fish"
"Land cress","Land cress can be grown easily in any garden"
"Land cress","Like watercress, it loves water, but does not do well when partially submerged for long periods of time"
"Land cress","This perennial needs full sun and frequent watering in any garden, unless near a direct source of water"
"Land cress","Supplier: <a href = 'https://acornnursery.com.au/'>Acorn Nursery<a/>"
"Lechenaultia","Small evergreen Australian native shrub with spectacular blue blooms over a long period"
"Lechenaultia","Features: Dwarf, woody stemmed shrub, prized for its massed display of very deep blue flowers"
"Lechenaultia","Flowers age from a deep blue to a paler blue"
"Lechenaultia","Grey-green foliage"
"Lechenaultia","Plants are sometimes spread by suckers"
"Lechenaultia","Originating from Moora, North of Perth"
"Lechenaultia","Suited to very free-draining soils or potting mix in full sun."
"Lechenaultia","Tolerant of sandy to clay loams, light frosts, hard pruning, light dappled shade and hot dry sites"
"Lechenaultia","Tip prune young plants regularly"
"Lechenaultia","Light application of slow release fertilizer may be beneficial"
"Lechenaultia","Mulch well using wood chips or pebbles"
"Lechenaultia","Water over extended dry periods by deep soaking during a cool part of the day"
"Lechenaultia","Great in rockeries or hanging baskets, mixed with Australian natives and/or exotics"
"Lechenaultia","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Lechenaultia","Status: Defunct"
"Lily","50-150cm x 20-30cm. Full sun to semi-shade. Frost hardy"
"Lily","Lilies thrive in semi-shade in warmer areas, but full sun is easily tolerated in cooler climates"
"Lily","Soil should be humus rich, moist and well-drained"
"Lily","Apply a mulch in summer to help retain moisture"
"Lily","Staking may be required"
"Long-leaf Wax Flower","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Lovage","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Marigold","Status: Defunct"
"Marmalade Bush","Flowering: 2011-12-20, in the (Melbourne, Victoria, Australia) Spring"
"Marmalade Bush","Pruning: Tip prune from an early age. As it becomes bushy, prune back all over immediately flowers are spent"
"Marmalade Bush","Feeding: No"
"Mexican Mock Orange","Pruning: No"
"Mexican Mock Orange","Feeding: No"
"Morning Glory","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"Morning Glory","It's a vine"
"Morning Glory","The flowers are aromatic"
"Morning Glory","This is not a Moonflower, if only because the flowers are open 24 hours a day"
"Morning Glory","Pruning: Cut back to keep bushy, if desired"
"Morning Glory","Feeding: Fertilize twice a year"
"Morning Glory","Status: Defunct"
"Moorpark Apricot","Moorpark is a variety of apricot which has been available in Australia for many years"
"Moorpark Apricot","PlantNet® now makes it available as a dwarf variety"
"Moorpark Apricot","Exclusive to PlantNet®, it is a sweet apricot to eat, and the fruit is an oval shape with an orange colour"
"Moorpark Apricot","It matures around late January, which makes it a mid- to late-season variety"
"Moorpark Apricot","This is a versatile variety which can be used for stewing, making jams or eaten fresh"
"Moorpark Apricot","This variety is self-fruitful and is a prolific bearer, which means it will require staking"
"Moorpark Apricot","A low maintenance tree for confined spaces because of its dwarfing tree size"
"Moorpark Apricot","Ideal for growing in pots or tubs on the patio or great for small sized gardens"
"Moorpark Apricot","Growing regions include: Warm semi-arid, Warm temperate, Mediterranean, Cool, Cool temperate"
"Moorpark Apricot","Breeder: <a href = 'http://plantnet.com.au/'>PlantNet®</a>"
"Moorpark Apricot","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Mugwort","Herb"
"Mugwort","Used in smudging and moxa"
"Mugwort","Folk remedy for anorexia. Induces dreams"
"Mugwort","Perennial"
"Mugwort","Moist soils and conditions"
"Mugwort","Supplier: <a href = 'http://allrareherbs.com.au'>All Rare herbs</a>"
"Narcissus","The flowers are quite aromatic, but some people might find them a little unpleasant"
"Narcissus","Flowering: 2012-06-30, in Winter (Melbourne, Victoria, Australia)"
"Narcissus","Feeding: No"
"Narcissus","Pruning: No"
"Narcissus","Status: Defunct"
"Nasturtium","One pot plant is a perennial, dying back at the start of Summer"
"Nasturtium","The other one crept across the patio and then completely died off"
"Nasturtium","All parts of the plant - flowers, leaves, stems, rhizomes - can be eaten"
"Nasturtium","But personally I find the stems cause slight stomach pain"
"Nasturtium","Leaves can reach 16cm across"
"Nierembergia","Almost blue, cup shaped flowers in Spring and Summer"
"Nierembergia","For full sun or part shade"
"Nierembergia","Likes a rich soil and some additional water in hot weather"
"Nierembergia","Perfect for the cottage garden"
"Nierembergia","Cut down low to the ground in Autumn"
"Nierembergia","Supplier: Rippon Lea Estate"
"Parsley","Herb"
"Passionfruit Daisy","Perennial evergreen small shrub"
"Passionfruit Daisy","Easy to go. Likes well-drained soil. Very hardy"
"Passionfruit Daisy","Flowers predominately in Winter, and continues thru the year"
"Passionfruit Daisy","Masses of golden-yellow flowers"
"Passionfruit Daisy","Frequest tipping will stop plant growing leggy"
"Passionfruit Daisy","Attracts birds and butterflies"
"Passionfruit Daisy","Can be potted"
"Passionfruit Daisy","Supplier: <a href = 'https://acornnursery.com.au/'>Acorn Nursery<a/>"
"Pennywort","Herb"
"Pennywort","An easily-grown ground cover"
"Pennywort","Loves a moist, shady position"
"Pennywort","In folk medicine practices it is thought to have therapeutic properties"
"Pennywort","<a href = 'http://www.herbherbert.com'>Herb Herbet's Traditional Herbs</a>"
"Pennywort","Supplier: <a href = 'https://acornnursery.com.au/'>Acorn Nursery<a/>"
"Plectranthus caninus","This is an attractive member of the mint family originates from South Africa and is particulary hardy"
"Plectranthus caninus","Lovely long-lasting purple flower spikes year round"
"Plectranthus caninus","40cm x 40cm"
"Plectranthus caninus","Supplier: Rippon Lea Estate"
"Plectranthus ecklonii 1","Shade loving, autumn flowering evergreen shrub"
"Plectranthus ecklonii 1","Plant under trees"
"Plectranthus ecklonii 1","Dry tolerant"
"Plectranthus ecklonii 1","Cut back after flowering"
"Plectranthus ecklonii 1","May be clipped back during Spring and early Summer to keep compact"
"Plectranthus ecklonii 1","Supplier: Burnley Horticultural College"
"Plectranthus ecklonii 1","Status: Defunct"
"Plectranthus ecklonii 2","Evergreen shrub"
"Plectranthus ecklonii 2","Dense sprays of pure white flowers late in Summer"
"Plectranthus ecklonii 2","Frost tender"
"Plectranthus ecklonii 2","Supplier: Burnley Horticultural College"
"Plectranthus saccatus","Evergreen shrub"
"Plectranthus saccatus","Green leaves with soft hairs"
"Plectranthus saccatus","Mauve-blue or white flowers"
"Plectranthus saccatus","Low sun to shade"
"Plectranthus saccatus","Allow to dry between waterings"
"Plectranthus saccatus","Supplier: Burnley Horticultural College"
"Purpurea","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Red Japanese Spinach","This is a classic leafy Japanese vegetable that in the US is often called Japanese Mustard Spinach"
"Red Japanese Spinach","This versatile vegetable partners well with simple herbs like parsley, chives and onions"
"Red Japanese Spinach","It also goes well with Asian-type flavours like laksa leaf, coriander, ginger, garlic and chili"
"Red Japanese Spinach","This is a real multi-tasking vegetable that can be used in salads, stir fries and steamed as a side dish"
"Red Japanese Spinach","Use in salads with a mixture of sweet herbs like mint, lime verbena and lime juice"
"Red Japanese Spinach","It is high in iron"
"Red Japanese Spinach","Do not overcook"
"Red Japanese Spinach","Plant in a sunny position in well-drained but moist soil"
"Red Japanese Spinach","Suitable for large pots"
"Red Japanese Spinach","Harvest young leafs regularly and remove flower stems as they appear"
"Red Japanese Spinach","The more you harvest the better it produces"
"Red Japanese Spinach","Fertilize with Season and Power Feed regularly"
"Red Japanese Spinach","Status: Defunct"
"Red Japanese Spinach","Supplier: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Red Japanese Spinach","Status: Defunct"
"Red Spinach","High in iron, carbohydrates, proteins, and vitamins A, B6, C and K"
"Red Spinach","Also contains calcium, magnesium, phospherous, potassium and a complete set of amino acids"
"Red Spinach","Plant in an open sunny position where the soil is well-drained"
"Red Spinach","Will tolerate somehwat dry soil"
"Red Spinach","Protect from frost"
"Red Spinach","<a href = 'http://haarsnursery.com.au'>Haar's Nursery</a>"
"Red Spinach","Supplier: <a href = 'https://acornnursery.com.au/'>Acorn Nursery<a/>"
"Red Spinach","Status: Defunct"
"Rice Flower 1","See also <a href = '/Flowers/Pimelea.rosea.html'>Pimelea rosea</a>"
"Rice Flower 1","Status: Defunct"
"Rice Flower 2","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Rice Flower 2","Syn. Pimelea decora"
"Rice Flower 2","A slender shrub that has an open habit and large amounts of pink flowering heads in the Spring and Summer"
"Rice Flower 2","A great small shrub suited to large tubs and mixed garden beds"
"Rice Flower 2","Prefers a moist well-drained soil in a sunny to partly shaded position"
"Rice Flower 2","Frost tolerant"
"Rice Flower 2","Keep moist in summer and mulch well to keep roots cool and moist"
"Rice Flower 2","Cultivate soil before planting"
"Rice Flower 2","Dig hole twice the width of the container"
"Rice Flower 2","Remove plant from container and place into the hole so the soil level is the same as the surrounding ground"
"Rice Flower 2","Fill hole firmly and water in well even if the soil is moist"
"Rice Flower 2","Attracts butterflies"
"Rice Flower 2","See also <a href = '/Flowers/Ozothamnus.html'>Ozothamnus 'Cosmic'</a>"
"Rose 1","A climber. Prune to 20 cm in late Autumn. Rapidly reaches the eaves and turns back down"
"Rose 1","Dimensions of 5m x 3m are when not pruned for years"
"Rose 2","A climber. Prune to 20 cm in late Autumn. Rapidly reaches the eaves and turns back down"
"Rose 2","Dimensions of 5m x 2m are when not pruned for years"
"Rose 3","Prune to 20 cm or leave. If pruned, grows back to 1.2m"
"Rose 4","Status: Defunct"
"Sage 1","Herb"
"Sage 1","Edible Sage, grown in a pot"
"Sage 2","Deep pink flower"
"Sage 2","See also <a href = '/Flowers/Salvia.officinalis.html'>Sage 1</a>"
"Sage 3","Cerise flower. This color was called Hollywood Cerise and is now just Hollywood"
"Sage 3","See also <a href = '/Flowers/Salvia.officinalis.html'>Sage 1</a>"
"Sage 3","<a href = 'https://en.wikipedia.org/wiki/Cerise_(color)'>Cerise colors on Wikipedia<a/>"
"Sage 4","Ceremonial herb of the American Indians"
"Sage 4","Leaves are burned to cleanse the spirit and welcome positive thoughts"
"Sage 4","Dry soils. Open, sunny, position"
"Sage 4","Herbacious perennial"
"Sage 4","Supplier: <a href = 'http://allrareherbs.com.au'>All Rare herbs</a>"
"Shady Lady® Crimson","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Silver lace bush","A great form of the ever reliable Wormwood"
"Silver lace bush","Beautful siver foliage is a great colour and textural foil for other plants"
"Silver lace bush","Tolerates heat and dry soil and gently forms a spreading clump"
"Silver lace bush","Supplier: Rippon Lea Estate, who call it Artemisia"
"Snake bean","Plant in full sun, with plants 30cm - 40cm apart"
"Snake bean","Matures in 8-10 weeks"
"Snake bean","Will need vertical support"
"Snake bean","Companions: Carrots, Cucumber, Parsley and Spinach"
"Snake bean","Supplier: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Snake bean","Status: Defunct"
"Spearmint","Herb"
"Spearmint","This is the mint used in the renowned Spearmint Tea. It has the most pure and intense flavour of any spearmint"
"Spearmint","Partners well with other mints, scented geraniums, lemon and lime balm for teas and sweet dishes"
"Spearmint","Use in any dish which requires a mint flavour"
"Spearmint","Add late in the cooking as the mint flavour erodes quickly"
"Spearmint","Finely chop leaves and use them in sauces and drizzles for desserts. Steep whole leaves in boiling water to create a refreshing tea"
"Spearmint","Place a handful of this mint, 3 teaspoons of gunpowder green tea, sugar or Stevia to taste in teapot"
"Spearmint","Add boiling water and brew for 5 minutes"
"Spearmint","Por into tea glasses and serve with noughat or dates, it down and watch Humphrey Bogart in Casablanca"
"Spearmint","Spearmint and Green Tea are powerful antioxidants and aid in digestion"
"Spearmint","Mints require open soil with Summer moisture"
"Spearmint","Given these conditions they can run away so should be planted where this is desired or in large pots"
"Spearmint","Regular applications of Seasol and Power Feed will keep it looking its best"
"Spearmint","Cut back annually to keep under control"
"Spearmint","Moderate frost"
"Spearmint","Suppiler: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Spiked mint-bush","This mint bush forms an upright, evergreen shrub carrying long, broad leaves with a distinct minty aroma"
"Spiked mint-bush","White of pale flowers are produced in Spring"
"Spiked mint-bush","Grow for both the aroma of the leaves and the mass of flowers. Ideal for shrubberies"
"Spiked mint-bush","Grows well in a cool, partly shaded position in moist, well-drained soil"
"Spiked mint-bush","Prune after flowering to maintain compct growth. Keep moist in dry weather"
"Spiked mint-bush","Cultivate soill before planting. Dig hole twice the width of the container"
"Spiked mint-bush","Remove plant from container and place into the hole so the soil leve is the same as the surrounding ground"
"Spiked mint-bush","Fill hole firmly and water in well even if the soil is moist"
"Spiked mint-bush","© Norwood"
"Spiked mint-bush","Status: Defunct"
"Spinach Beet","Vegetable"
"Spinach Beet","This versatile vegetable partners well with simple herbs like parsely, chives, onions and garlic"
"Spinach Beet","Serve in salads, with ham, cheese, eggs and pine nuts or as a simple side dish"
"Spinach Beet","This is a real multi-tasking vegetable that can be used in salads, stir fries and steamed as a side dish"
"Spinach Beet","Use in salads with a mixture of sweet herbs like mint, lime verbena and lime juice"
"Spinach Beet","It is high in iron"
"Spinach Beet","Do not overcook"
"Spinach Beet","Plant in a sunny position in well-drained but moist soil"
"Spinach Beet","Suitable for large pots"
"Spinach Beet","Harvest young leafs regularly and remove flower stems as they appear"
"Spinach Beet","The more you harvest the better it produces"
"Spinach Beet","Fertilize with Season and Power Feed regularly"
"Spring Snowflake","Flowering: 2012-06-01, in Autumn (Melbourne, Victoria, Australia)"
"Spring Snowflake","The flowers are not aromatic, although the stalk does have an aroma, possibly confusing people"
"Spring Snowflake","Pruning: No"
"Spring Snowflake","Feeding: No"
"Sweet Lilli","Extremely long flowering plant with masses of rose-pink/orange flowers late Spring and Autumn"
"Sweet Lilli","Drought tolerant once established"
"Sweet Lilli","Attracts birds and butterflies"
"Sweet Lilli","The dimensions of 1.1m x 70cm are if the stalks stand up. If they fall outwards, it's more like 1m x 1.6m"
"Sweet Lilli","Supplier: Rippon Lea Estate"
"Tamarix aphylla","Pruning: Cut back in spring"
"Tansy","A spreading shrub with bright yellow button flowers in late Spring to late Autumn"
"Tansy","Tansy is not a culinary plant but is an excellent insecticide and companion plant for the home and garden"
"Tansy","It controls a wide range of crawling, flying and sucking insects"
"Tansy","Plant in selected spots around the vegie garden to attract beneficial insects"
"Tansy","Also, the foliage can be used as a deterrent in potpourri and mixed with lavender flowers and placed in sachets in cupboards and drawers"
"Tansy","It has been used as a mosquito repellant prior to the use of modern personal sprays"
"Tansy","Do not consume"
"Tansy","Tansy prefers an open sunny position in well-drained limey soil but will grow in most soils and garden beds"
"Tansy","Regular applications of Seasol and Power Feed in Spring and Autumn will keep the plants healthy and growing well"
"Tansy","Moderate frost"
"Tansy","Warning: Spreads remorselessly and is never recommended for planting"
"Tansy","Not to be confused with tansy ragwort or tansy mustard"
"Tansy","Status: Defunct"
"Tea Tree 2","'Rudolph' is a fast-growing medium to tall shrub"
"Tea Tree 2","It has attractive purplish new growth and small red flowers"
"Tea Tree 2","Flowering commences in December and may continue through Christmas"
"Tea Tree 2","It is a cold-hardy screening plant which tolerates wet conditions"
"Tea Tree 2","The appealing leaf color and growth habit make this plant ideal for screens, hedges and low wind breaks"
"Tea Tree 2","In Summer, when many other shrubs have finished flowering, 'Rudolph' comes into bloom and provides color for the festive season"
"Tea Tree 2","If space allows, group planting will offer a superb display"
"Tea Tree 2","Fertilize regulary to encourage new growth"
"Tea Tree 2","Planting is simple: Dig the hole twice the width of the root ball and a little deeper"
"Tea Tree 2","Position the plant no deeper than it was in the pot, refill the hole and water well"
"Tea Tree 2","Mulching is beneficial in improving the soil and conserving moisture"
"Tea Tree 2","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Thelionema caespitosum","Tufted plant with narrow, grass-like leaves bears blue, star-like flowers on slender branching stems"
"Thelionema caespitosum","Plant for a striking mass display"
"Thelionema caespitosum","Suitable for growning in pots or decorative containers on patios or verandahs"
"Thelionema caespitosum","Adds color and form to garden beds and borders"
"Thelionema caespitosum","Prefers well-drained soil but will tolerate most soil types"
"Thelionema caespitosum","Tolerant of light frost"
"Thelionema caespitosum","If desired, old leaves can be removed to keep plants tidy"
"Thelionema caespitosum","Mulch well to retain soil moisture and suppress weeds"
"Thelionema caespitosum","Fertilise with a low phospherous, slow release fertiliser if required"
"Thelionema caespitosum","Full sun or part shade"
"Thelionema caespitosum","Flowers in Spring"
"Thelionema caespitosum","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Trixie® Nectarine","A delightful miniature fruiting tree, ideal for the smaller garden, or in a planter pot on the patio"
"Trixie® Nectarine","A great way to teach your kids where fruit comes from!"
"Trixie® Nectarine","The height is the only thing about this tree that is small, as it bears delicious, full size, full flavoured, yellow flesh fruit"
"Trixie® Nectarine","Added to that, in Spring the tree is covered with showy pink blossom"
"Trixie® Nectarine","Self-pollinating"
"Trixie® Nectarine","Climate: Cool temperate to warm temperate"
"Trixie® Nectarine","Soil: Adapts to a wide range of soil types, but prefers a well-drained, heavy loam"
"Trixie® Nectarine","Planting: Cultivate well-drained soil thoroughly before planting. Don't dig into clay. Instead build up the site with top soil"
"Trixie® Nectarine","Planting a bare-rooted tree: Trim off broken roots. Wet roots and place in hole (no deeper than soil line on tree)"
"Trixie® Nectarine","Pack soil around roots firmly. Make a depression in soil around tree and slowly apply a bucket or two of water to remove air pockets"
"Trixie® Nectarine","Prune lightly (refer to diagram on plastic tag)"
"Trixie® Nectarine","Planting a containerized tree: Remove tree from pot and 'tease' out the roots slightly before placing in hole"
"Trixie® Nectarine","Back fill with soil and water as above"
"Trixie® Nectarine","Fertilizer: Apply a complete fertilizer to the cultivated area after planting, keeping it away from the roots and the tree"
"Trixie® Nectarine","When young, will benefit from an application of a complete fertilizer each Spring"
"Trixie® Nectarine","Culture: Pruning is recommended. Susepible to leaf-curl. Spray (in prone areas) during dormancy,"
"Trixie® Nectarine","or consult with your local nursery for suitable control"
"Trixie® Nectarine","Water often until established"
"Trixie® Nectarine","Requires a deep soaking when dry"
"Trixie® Nectarine","Mulch is beneficial"
"Trixie® Nectarine","Breeder: <a href = 'http://flemmings.com.au/'>Flemmings</a>"
"Trixie® Nectarine","Supplier: <a href = 'http://pinewoodnursery.com.au/'>Pinewood Nursery</a>"
"Turmeric","Tasty condiment"
"Turmeric","Deep-acting medicinal tonic that (allegedly) nurtures the body and supports the immune system"
"Turmeric","(Wikipedia): From clinical research, there is no high-quality evidence that turmeric has medicinal properties"
"Turmeric","Perennial"
"Turmeric","The root is an essential ingredient of curry and primarily responsible for the yellow colour"
"Turmeric","The powdered root produces a gold-yellow dye"
"Turmeric","Turmeric plant is native to India and Asia, preferring rich, moist soils in a protected, heavily shaded position"
"Turmeric","Suitable for containers"
"Turmeric","Drought and frost tender"
"Vietnamese Mint","Herb"
"Vietnamese Mint","This only survives through the warner months in moist to web conditions"
"Vietnamese Mint","It has a strong spicy flavour, and smells similar to coriander, only even more pungent"
"Vietnamese Mint","Its leaves are used extensively in Asian cooking, and are always used fresh"
"Vietnamese Mint","Best grown in containers, as it can be invasive"
"Vietnamese Mint","It is neither related to the mints, nor is it in the mint family Lamiaceae but the general appearance and odor are reminiscent of them. Persicaria is in the family Polygonaceae, collectively known as smartweeds or pinkweeds"
"Vietnamese Mint","Supplier: <a href = 'https://www.botanicalcreations.com.au/'>Botanical Creations></a>"
"Viola 1","Flowering: 2011-11-26, in Spring (Melbourne, Victoria, Australia)"
"Viola 3","Flowering: 2011-11-26, in Spring (Melbourne, Victoria, Australia)"
"Viola 3","The 3rd and 4th images are flowering now (2012-06-25), in Winter (Melbourne, Victoria, Australia)"
"Viola 3","The 3rd image flower has an extremely faint aroma"
"Viola 3","Pruning: No"
"Viola 3","Feeding: No"
"White Cane Begonia","This is a cane-stemmed Begonia"
"White Cane Begonia","The flowers have a faint, pleasant aroma"
"White Cane Begonia","Flowering: 2011-11-14, in Spring (Melbourne, Victoria, Australia)"
"White Cane Begonia","Pruning: No"
"White Cane Begonia","Feeding: No"
"White Gaura","Status: Defunct"
"Woolly Bush","Apparently flowering is a very rare event"
"Woolly Bush","This flower was longed for but unexpected"
"Wulfen Spurge","A fantastic garden plant for any hot, dry spot"
"Wulfen Spurge","A bullet-proof evergreen shrub with unusual foliage and big, lime-green flower heads in Spring"
"Wulfen Spurge","Cut back stems that have flowered to the base, leaving others"
"Wulfen Spurge","Supplier: Rippon Lea Estate"
"Yarrow","Herb"
"Yarrow","A plant of sunny disposition"
"Yarrow","Crushed leaves used a poultice to heal wounds"
"Yarrow","Leaves act as catalyst in compost"
"Yarrow","Companion plant"
"Yarrow","Perennial ground cover"
"Yarrow","Supplier: <a href = 'http://allrareherbs.com.au'>All Rare herbs</a>"
"Zion Red","<a href = 'http://www.benaranurseries.com/productinfo.asp?ID=12092'>An extremely similar plant</a>"
